Singly,singly,http://www.facebook.com/singlyinc
Braintree,braintree,http://www.facebook.com/braintreepayments
Venmo,venmo,http://www.facebook.com/venmo
Microsoft,microsoft,http://www.facebook.com/Microsoft
Google,google,http://www.facebook.com/Google
ATT,ATT,http://www.facebook.com/ATT
McDonalds,McDonalds,http://www.facebook.com/McDonalds
Wendy's,Wendys,http://www.facebook.com/wendys
Burger King,BurgerKing,http://www.facebook.com/burgerking
Taco Bell,TacoBell,http://www.facebook.com/tacobell
Coca-Cola,ColaCola,http://www.facebook.com/cocacola
Pepsi,pepsi,http://www.facebook.com/pepsi
Nintendo,NintendoAmerica,http://www.facebook.com/Nintendo
Sony,Sony,http://www.facebook.com/Sony
The Onion,TheOnion,http://www.facebook.com/TheOnion
Bank Of America,BofA_News,http://www.facebook.com/BankofAmerica
Citigroup,Citi,http://www.facebook.com/citibank
Chase,ChaseNews,http://www.facebook.com/ChaseFreedom
Comcast,comcast,http://www.facebook.com/xfinity
Ford,Ford,http://www.facebook.com/ford
General Motors,GM,http://www.facebook.com/generalmotors
Toyota,Toyota,http://www.facebook.com/toyota
Space X,SpaceX,http://www.facebook.com/SpaceX
Internal Revenue Service,IRSnews,http://www.facebook.com/IRS
